npi,depression,tobacco,weight,bloodpressure,comparingmeds,reduceheart
1487647830,0,95,48,,,
1639153604,,,,100,,
1629035407,,96,,,,
1740222488,,71,46,,,
1891783841,,75,20,,,
1508895145,,94,,,,
1396790275,,100,27,,,
1891791216,,,100,100,,
1255411039,,67,97,,,
1578521761,,100,99,100,,
1417940453,,100,97,,,
1568444354,,100,,,,
1366483463,,100,,,,
1700840964,,100,,,,
1205944006,,,,100,,
1538165097,,100,,,,
1427047885,61,98,56,,,
1346358298,,97,82,,,
1912988833,,84,38,68,,
1710986799,,100,93,,,
1902880966,,99,100,100,,
1558310730,,,100,,,
1063480358,,100,,,,
1417970526,,100,,,,
1548211519,,100,100,,,
1629059951,,100,100,,,
1629049713,,100,,,,
1760423891,,,,18,,
1336161470,,,100,,,
1407823040,,90,46,,,
1780653634,,100,,,,
1144223942,,100,42,,,
1083652101,,100,,,,
1205987252,100,100,100,,,
1730137027,,100,,,,
1508803727,,98,,,,
1750352431,,,43,,,
1154381721,,100,100,,,
1285626283,,97,,,,
1023047495,,,,100,,
1932106820,,,,99,,
1538128590,,,100,,,
1700862042,,100,,,,
1144318759,,92,,,,
1326043472,,98,,,,
1972505386,,100,,,,
1932177136,,,,,,89
1932296019,,99,,,,
1275629511,,99,,,,
1891750394,,94,47,,,
1003893926,,93,50,,,
1073543278,,94,,,,
1194718858,,100,,,,
1376782300,,100,,,,
1598762379,,97,42,,97,86
1700959459,,100,100,,,
1962460295,,100,100,,,
1639127020,,,93,,,
1568573319,,38,55,42,,
1093827743,,,95,,,
1225130610,,,100,,,
1760486450,,99,90,,,83
1184794372,,100,,,,
1225061716,0,92,42,,,
1669499265,,89,,,,
1497749873,,94,,,,
1588625644,,98,98,,,
1477577435,,100,,,,
1427068675,,49,0,,,
1215989322,,,88,,,
1356302038,,100,,,,
1265455950,,100,100,,,
1558311688,,80,33,,,
1770539959,,,100,,,
1013938711,,,,24,,
1740203686,,86,53,,,
1154326403,,100,,,,
1427041565,,100,90,,,
1346242476,,88,,,,
1548274095,,100,,,,
1871677930,,98,,,,
1477500304,99,100,100,,,
1548391485,,99,97,100,,
1477541753,,100,65,,,
1639358435,,,100,,,
1245340223,,96,,,,
1790715902,,,100,,,
1821079989,,100,,,,
1841252061,,100,100,,,
1083609622,,100,,,,
1144382615,,100,,,,
1881673978,,100,,,,
1851470140,,100,,,,
1740480193,,100,100,100,,
1700913092,,,74,,,
1841239050,,,,,100,
1992996912,39,66,67,,,
1376514323,,100,,,,
1235192733,,97,,,,
1841297983,,100,96,100,,
1356440465,,,100,,,
1265436281,,,,,,95
1700853462,,100,,,,
1861456758,,92,51,,,
1447331087,,100,,,,
1881763704,,85,,,,
1831157742,,,97,,,
1215024195,,100,,,,
1619993441,,,,97,,
1508050337,,68,,,,
1215906276,,100,100,,,
1225237795,,81,,,,
1306946306,,98,68,,,
1427247964,,,100,,,
1649212762,,,100,,,
1669667325,,86,53,,,
1477632586,,100,100,,,
1033315460,,,100,,,
1386710507,,,86,,,
1699898643,,90,,,,
1861550766,0,94,43,,,
1568470508,,89,94,89,,
1639253933,,,100,,,
1396791372,,98,,,,
1437130952,,,100,,,
1528163185,,,97,,,
1396743555,,100,,,,
1205860954,,100,,,,
1619049822,,,100,,,
1750369393,,,,100,,
1063513588,,100,,,,
1962561746,,100,,,,
1083711667,,100,,,,
1679611974,0,87,30,,,
1356331995,,,98,,,
1376609792,,,98,,,
1215097837,,,,,,100
1770535528,,100,,,,
1558326801,,,58,,,
1598758120,,100,,,,
1548423080,,100,,,,
1538131503,,100,,,,
1265643423,,100,,,,
1073570842,,100,100,,,
1881900538,,,100,,,
1063500353,,100,97,100,,
1629090162,,100,,,,
1871516245,,,,100,,
1659602308,,,,85,,
1104821800,,,59,,,
1164425914,,70,,,,
1831105485,,100,,,,
1578572574,,,65,,,
1750362901,,89,35,,100,
1245239896,,,,96,,
1902837867,,98,97,,,
1194726091,,100,89,,,65
1649219247,,99,,,,
1316904543,,90,,,,
1427043082,,73,,,,
1215916564,,,97,,,
1265412639,,100,,,,
1144398033,,,85,,,
1073516506,,,100,,,
1073508206,,99,99,100,,
1235108754,,100,,100,,
1932275385,,,100,,,
1780656306,,100,,,,
1477548451,,100,,99,,
1194781443,,,100,,,
1013999697,,99,,,,
1154308732,,100,,100,,
1174515373,,93,,,,
1255668109,,99,,,,
1225093982,,97,,,,
1447382114,,100,99,,,
1750610051,,,,46,,
1003017112,,89,,,,
